Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2008,Persépolis,LM,"Marjane Satrapi, Vincent Paronnaud","Drama, Biografia","US, FR",634,10760,"48666,60"
2008,Pinóquio 3000,LM,Daniel Robichaud,"Fantasia, Ficção Científica","FR, CA, ES",4,115,"366,20"
2008,Pintar Ou Fazer Amor,LM,"Arnaud Larrieu, Jean-Marie Larrieu",Comédia,FR,8,94,"302,10"
2008,Piratas das Caraíbas - Nos Confins do Mundo,LM,Gore Verbinski,"Fantasia, Aventura, Acção",US,1,69,"241,50"
2008,Planeta Terror,LM,Robert Rodriguez,"Acção, Terror, Ficção Científica",US,2,131,"368,50"
2008,Pobre de Pedir,CM,Vítor Moreira,Drama,PT,1,24,"0,00"
2008,Poderá Ser Amor?,LM,Pierre Jolivet,"Drama, Romance, Comédia",FR,1,57,"138,00"
2008,Polar Express,LM,Robert Zemeckis,"Fantasia, Aventura",US,9,543,"1636,50"
2008,Poniente,LM,Chus Gutiérrez,"Drama, Romance",ES,1,56,"0,00"
2008,Ponto de Mira,LM,Pete Travis,"Drama, Thriller, Acção",US,5511,94711,"401097,70"
2008,Por Água Abaixo,LM,"David Bowers, Sam Fell","Comédia, Aventura, Acção","US, GB",3,57,"183,00"
2008,Por Culpa De Fidel,LM,Julie Gavras,Drama,"FR, IT",13,290,"870,40"
2008,Porca Miséria,CM,"Joaquim Pinto, Nuno Leonel","Drama, Fantasia",PT,1,52,"156,00"
2008,Porque é que Clara se Apaixona?,CM,Miguel Marques,"Drama, Romance",PT,5,105,"0,00"
2008,Preciosa Iguaria,LM,Fruit Chan,"Drama, Terror",HK,1,3,"6,50"
2008,Premonição,LM,Mennan Yapo,"Drama, Fantasia, Thriller",US,1,359,"0,00"
2008,Primavera Tardia,LM,Yasujirô Ozu,Drama,JP,3,91,"287,00"
2008,Procurado,LM,Timur Bekmambetov,"Thriller, Acção, Policial","US, DE",9296,262176,"1145379,82"
2008,Procura-se Amigo,CM,Vítor Moreira,Drama,PT,1,15,"0,00"
